city,state,incidents,victims,gva_incidents,POP_TEENS,POP_TOTAL,victimrate_over_teens,victimrate_over_total,incidentrate_over_teens,incidentrate_over_total,gvarate_over_teens,gvarate_over_total
Newport News,Virginia,39,45,382,13937,182385,9.225186810032903e-4,7.049451905114377e-5,7.995161902028516e-4,6.10952498443246e-5,0.027409055033364424,0.0020944704882528715
Miami,Florida,64,74,687,23086,441003,9.158302496256234e-4,4.7942660577948776e-5,7.920694050816203e-4,4.146392266200975e-5,0.02975829507060556,0.0015578125318875381
Waterloo,Iowa,13,16,359,5020,68460,9.10643141718839e-4,6.677517632819999e-5,7.398975526465567e-4,5.4254830766662493e-5,0.07151394422310757,0.0052439380660239555
Shreveport,Louisiana,43,47,620,16063,197204,8.359939879581292e-4,6.809482276511343e-5,7.648455634510544e-4,6.229951869999739e-5,0.03859802029508809,0.00314395245532545
Norfolk,Virginia,34,43,487,14908,246393,8.241021120012266e-4,4.986226997404263e-5,6.516156234428303e-4,3.9425980909708124e-5,0.03266702441642071,0.0019765171900175734
Birmingham,Alabama,36,39,695,14330,212461,7.775894726348321e-4,5.244660028361508e-5,7.17774897816768e-4,4.841224641564469e-5,0.048499651081646895,0.003271188594612658
Miami Gardens,Florida,22,28,103,10448,113187,7.656967840735069e-4,7.067949499500826e-5,6.016189017720411e-4,5.553388892464935e-5,0.009858346094946402,9.099984980607314e-4
Orlando,Florida,38,41,786,15578,270934,7.519762302147717e-4,4.323667651267731e-5,6.96953579223447e-4,4.007301725565214e-5,0.050455770959044806,0.00290107553869208
Flint,Michigan,23,24,532,9195,98310,7.457469121416919e-4,6.975020707092725e-5,7.146741241357881e-4,6.684394844297194e-5,0.05785753126699293,0.005411453565252772
Rockford,Illinois,26,32,592,12514,148278,7.306102879061166e-4,6.166024051347565e-5,5.936208589237197e-4,5.009894541719897e-5,0.04730701614192105,0.003992500573247549
Baltimore,Maryland,99,108,2804,42704,621849,7.225820264411497e-4,4.9621600834194245e-5,6.623668575710539e-4,4.548646743134473e-5,0.06566129636568004,0.0045091332461739105
Milwaukee,Wisconsin,114,128,1857,51366,600155,7.119773502205461e-4,6.093663898730923e-5,6.341048275401739e-4,5.427169409807228e-5,0.03615231865436281,0.003094200664828253
Kalamazoo,Michigan,7,11,124,4550,76041,6.907378335949764e-4,4.13310864251804e-5,4.3956043956043956e-4,2.6301600452387526e-5,0.027252747252747254,0.0016306992280480266
Rochester,New York,36,40,555,16781,209802,6.810423352941677e-4,5.447312908633582e-5,6.12938101764751e-4,4.9025816177702245e-5,0.03307311840772302,0.0026453513312551837
Little Rock,Arkansas,31,33,619,14986,197992,6.291586433051801e-4,4.762097169871221e-5,5.910278164381994e-4,4.473485220182056e-5,0.04130521820365675,0.003126388945007879
